N,vector_%peak_bw,indirect_%peak_bw
8388608,0.21557894736842104,0.16516129032258062
16777216,0.21557894736842104,0.12820031298904538
33554432,0.2152956636005256,0.12136296296296294
67108864,0.21473132372214937,0.08810970691045981
134217728,0.2145204582651391,0.11507638279192273
268435456,0.2142399476953253,0.09989482508955111
