N,direct_time_ms,direct_MFLOPs,vector_time_ms,vector_MFLOPs,indirect_time_ms,indirect_MFLOPs,vector_time_s,indirect_time_s,vector_GBps,indirect_GBps,vector_%peak_bw,indirect_%peak_bw,vector_latency_ns,indirect_latency_ns
8388608,2.0,4194.3,38.0,220.75,49.6,169.13,0.038,0.0496,0.8830113684210527,0.6765006451612903,0.21557894736842104,0.16516129032258062,4.5299530029296875,5.91278076171875
16777216,4.0,4194.3,76.0,220.75,127.8,131.28,0.076,0.1278,0.8830113684210527,0.5251084820031299,0.21557894736842104,0.12820031298904538,4.5299530029296875,7.617473602294922
33554432,9.0,3728.27,152.2,220.46,270.0,124.28,0.1522,0.27,0.8818510381077529,0.4971026962962962,0.2152956636005256,0.12136296296296294,4.535913467407227,8.046627044677734
67108864,19.2,3495.25,305.2,219.88,743.8,90.22,0.30519999999999997,0.7437999999999999,0.879539501965924,0.3608973595052434,0.21473132372214937,0.08810970691045981,4.547834396362305,11.083483695983885
134217728,38.0,3532.05,611.0,219.67,1139.0,117.84,0.611,1.139,0.8786757970540098,0.4713528639157155,0.2145204582651391,0.11507638279192273,4.552304744720459,8.48621129989624
268435456,76.0,3532.05,1223.6,219.38,2624.2,102.29,1.2235999999999998,2.6241999999999996,0.8775268257600525,0.40916920356680136,0.2142399476953253,0.09989482508955111,4.558265209197997,9.775906801223753
